"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Indiana","IN","Fayette",0.277332200080037,1.92908795305802,24885,0,1.88995908021962,0,1.81400628933319,"Cancer",1.92908795305802,"18041"
"Indiana","IN","Floyd",0.259849009247467,1.59150599485372,71997,0,0,0,1.81863712658998,"Heart Disease",1.81863712658998,"18043"
"Indiana","IN","Fountain",2.93879067851729,2.63105211695827,17462,0,1.91949889597283,0,2.28641536394216,"Cancer",2.63105211695827,"18045"
"Indiana","IN","Franklin",2.80569246152329,2.43144286885645,23085,0,0,0,2.05071629615013,"Cancer",2.43144286885645,"18047"
"Indiana","IN","Fulton",3.01592625336039,2.39686631872268,20665,0,2.27845529350273,0,2.2863323439684,"Cancer",2.39686631872268,"18049"
"Indiana","IN","Gibson",0,1.72314611122543,33408,0,1.76770561481833,0,1.76308329137888,"Suicide",1.76770561481833,"18051"
"Indiana","IN","Grant",1.15915594097951,1.59524291003675,70557,0,0.41500107910201,0,1.69846642764329,"Heart Disease",1.69846642764329,"18053"
"Indiana","IN","Greene",0,1.74770293780515,33479,0,0,0,1.69969304503217,"Cancer",1.74770293780515,"18055"
"Indiana","IN","Hamilton",0,0,240685,0,0,0,0,"None",0,"18057"
"Indiana","IN","Hancock",1.56214438274184,0,63138,0,1.48635570679665,0,0,"Suicide",1.48635570679665,"18059"
"Indiana","IN","Harrison",2.49812857943705,1.61413350862576,36827,0,0,0,1.38827433849132,"Cancer",1.61413350862576,"18061"
"Indiana","IN","Hendricks",0,0,127483,0,0.113801512686239,0,0,"Suicide",0.113801512686239,"18063"
"Indiana","IN","Henry",1.50711710430747,0.683474222839217,47244,0,1.2083326142377,0,1.48666400188746,"Heart Disease",1.48666400188746,"18065"
